Team,Team abbreviation,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,OPTS,OFGM,OFGA,OFG%,O3PM,O3PA,O3P%,OFTM,OFTA,OFT%,OOR,ODR,OREB,OAST,OSTL,OBLK,OTO,OPF,GP,GW
Sacramento Kings,SAC,120.7,43.6,88.2,49.4,13.8,37.3,36.9,19.8,25.1,79,9.5,32.9,42.5,27.3,7,3.4,13.1,19.7,118.1,43.8,88.9,49.2,12.5,33.4,37.3,18.1,23,78.7,9.7,32.5,42.2,26.7,7.3,4.2,13.6,20.9,82,48
Golden State Warriors,GSW,118.9,43.1,90.2,47.9,16.6,43.2,38.5,16,20.2,79.4,10.5,34.1,44.6,29.8,7.2,4,15.7,21.4,117.1,42.4,90.5,46.8,12.9,35.5,36.4,19.4,25.2,76.9,10.7,32.6,43.3,25.7,7.9,4,13.5,18.4,82,44
Atlanta Hawks,ATL,118.4,44.6,92.4,48.3,10.8,30.5,35.2,18.5,22.6,81.8,11.2,33.2,44.4,25,7.1,4.9,12.4,18.8,118.1,43.8,90.2,48.6,11.9,33.5,35.6,18.6,23.2,80.3,10.6,33.5,44.1,26,7.5,5,13.5,19.7,82,41
Boston Celtics,BOS,117.9,42.2,88.8,47.5,16,42.6,37.7,17.5,21.6,81.2,9.7,35.6,45.3,26.7,6.4,5.2,12.7,18.8,111.4,41.8,90.2,46.3,11.6,33.7,34.5,16.2,21.1,76.9,9.7,34.3,44,23.1,6.6,3.9,12,19.1,82,57
Oklahoma City Thunder,OKC,117.5,43.1,92.6,46.5,12.1,34.1,35.6,19.2,23.7,80.9,11.4,32.3,43.6,24.4,8.2,4.2,12.5,21,116.4,41.9,88.4,47.4,12.9,36,35.8,19.6,25.5,77.1,12,34.7,46.6,25.9,7,5.5,16.2,20.4,82,40
Los Angeles Lakers,LAL,117.2,42.9,89,48.2,10.8,31.2,34.6,20.6,26.6,77.5,10,35.7,45.7,25.3,6.4,4.6,13.5,17.9,116.6,44,93.9,46.9,12.5,36.5,34.4,16.1,20.8,77.3,11.1,33.8,44.9,25.7,7.6,5.1,12.1,21.5,82,43
Utah Jazz,UTA,117.1,42.5,89.8,47.3,13.3,37.8,35.3,18.7,23.8,78.6,11.8,34.1,45.9,26,6.1,5.2,14.9,20.5,118,43.4,91.6,47.3,12.5,34.5,36.1,18.8,24.3,77.6,11.2,32.2,43.5,25,7.8,4.9,12,20.5,82,37
Milwaukee Bucks,MIL,116.9,42.7,90.4,47.3,14.8,40.3,36.8,16.6,22.4,74.3,11.1,37.5,48.6,25.8,6.4,4.9,13.9,18,113.3,42.5,93.2,45.6,12.1,34.1,35.4,16.3,21,77.6,10.7,33.5,44.2,23.9,7,3.9,11.5,19,82,58
Memphis Grizzlies,MEM,116.9,43.7,92.1,47.5,12,34.2,35.1,17.5,23.8,73.3,12,34.6,46.6,26,8.3,5.8,12.9,20,113,40.7,89.8,45.3,13,36.6,35.5,18.5,23.5,78.7,11,33.4,44.4,26.4,6.8,5.2,14.4,20,82,51
Indiana Pacers,IND,116.3,42,89.6,46.9,13.6,37,36.7,18.7,23.7,79,10.1,31.4,41.5,27,7.7,5.8,14.1,21.2,119.5,43.3,89.3,48.5,12.4,33.3,37.3,20.5,25.6,80,12.1,33.2,45.3,26.4,7.9,5.3,14.2,20.2,82,35
New York Knicks,NYK,116,42,89.4,47,12.6,35.7,35.4,19.4,25.5,76.1,12.6,34,46.6,22.9,6.4,4.1,12,20.3,113.1,40.8,88.2,46.2,13,36.5,35.7,18.5,23.7,78.2,10.1,31.9,42,25.1,6,4.5,12,20.7,82,47
Denver Nuggets,DEN,115.8,43.6,86.4,50.4,11.8,31.2,37.9,16.8,22.4,75.1,10.1,32.9,43,28.9,7.5,4.5,13.8,18.6,112.5,41.7,87.4,47.8,11.4,33.1,34.4,17.6,22.7,77.5,10.1,30.7,40.8,25.7,7.9,4.2,12.9,19.5,82,51
Minnesota Timberwolves,MIN,115.8,42.9,87.4,49,12.2,33.3,36.5,17.9,23.7,75.5,9.1,32.8,41.9,26.2,8,5.4,14.8,21.6,115.8,41.8,88.7,47.1,12.3,33.3,36.9,19.9,26,76.6,11.3,33.3,44.7,25,8.2,4.1,14.7,20.2,82,42
Philadelphia 76ers,PHI,115.2,40.8,83.8,48.7,12.6,32.6,38.7,21,25.1,83.5,8.7,32.2,40.9,25.2,7.7,4.7,12.8,20.4,110.9,40.4,85.4,47.3,11.6,33.4,34.8,18.5,23.7,78.1,9.5,31.6,41.2,24.2,6.6,4.6,13.5,19.6,82,54
New Orleans Pelican,NOP,114.4,42,87.6,48,11,30.1,36.4,19.3,24.4,79.3,10.6,33.1,43.7,25.9,8.3,4.1,14,20.5,112.5,40.9,86.6,47.2,12.2,36,33.9,18.4,23.6,77.9,9.7,32.1,41.8,24.9,7.3,4.7,14.3,20.4,82,42
Dallas Mavericks,DAL,114.2,40,84.3,47.5,15.2,41,37.1,19,25.1,75.5,7.6,31.2,38.8,22.9,6.3,3.7,11.7,20.7,114.1,41.8,86.2,48.5,11.1,31.7,35.2,19.5,25,78.1,10.1,34.6,44.7,24.9,6.4,3.8,12.4,21.8,82,38
Phoenix Suns,PHX,113.6,42.1,90.1,46.7,12.2,32.6,37.4,17.2,21.7,79.3,11.8,32.4,44.2,27.3,7.1,5.3,12.9,21.2,111.6,40,85.9,46.6,11.4,32,35.7,20.1,25.6,78.6,10.2,32.6,42.9,23.4,7.2,4,13.6,19.9,82,45
LA Clippers,LAC,113.6,41.1,86.1,47.7,12.7,33.3,38.1,18.7,23.9,78.1,9.8,33.4,43.2,23.9,7.1,4.4,13.5,19.5,113.1,41.8,88.3,47.4,12.2,33.4,36.5,17.2,22.3,77.1,10.2,32.9,43.1,25,7.8,4.2,12.4,19.6,82,44
Portland Trail Blazers,POR,113.4,40.5,85.4,47.4,12.9,35.3,36.5,19.6,24.6,79.6,9.4,31.1,40.5,24.2,6.7,4.6,13.7,20,117.4,43,87.5,49.1,12.5,33.1,37.9,19,24.1,78.7,10.5,32.8,43.2,27,7.8,4.3,12.9,20.5,82,33
Brooklyn Nets,BKN,113.4,41.5,85.1,48.7,12.8,33.8,37.8,17.7,22.1,80,8.2,32.3,40.5,25.5,7.1,6.2,12.9,21.1,112.5,41,88.5,46.3,11.8,32.2,36.7,18.7,24.4,76.7,11.5,33.6,45.1,23.4,7,3.9,13,18.5,82,45
Washington Wizards,WAS,113.2,42.1,86.9,48.5,11.3,31.7,35.6,17.6,22.4,78.5,9.4,34.2,43.6,25.4,6.8,5.2,13.3,18.8,114.4,42.5,89.8,47.3,12,32.8,36.6,17.5,21.9,79.8,10.8,32.3,43,24.8,7.1,5,11.8,19.4,82,35
Chicago Bulls,CHI,113.1,42.5,86.8,49,10.4,28.9,36.1,17.6,21.8,80.9,8.5,33.9,42.4,24.5,7.9,4.5,12.7,18.9,111.8,40.7,87.1,46.8,13.2,37.1,35.7,17.1,22,77.9,9.6,33.7,43.3,26,6.7,4.7,14.2,18.7,82,40
San Antonio Spurs,SAS,113,43.1,92.6,46.5,11.1,32.2,34.5,15.8,21.2,74.3,11.8,31.9,43.7,27.2,7,3.9,14.7,19.9,123.1,46.1,91,50.7,12.6,32.3,39.1,18.2,23.7,77,10.7,34.3,45,26.8,8.1,5.3,13.2,18.5,82,22
Toronto Raptors,TOR,112.9,41.9,91.3,45.9,10.7,32,33.5,18.4,23.4,78.4,12.7,30.3,43,23.9,9.4,5.2,11.2,20,111.4,40.4,82.3,49.1,12.2,32.6,37.4,18.4,23.1,79.7,9.2,33,42.3,26.2,6,4.6,15.9,19.6,82,41
Cleveland Cavaliers,CLE,112.3,41.6,85.2,48.8,11.6,31.6,36.7,17.5,22.5,78,9.7,31.4,41.1,24.9,7.1,4.7,12.4,19,106.9,39,83.5,46.8,11.3,30.6,36.8,17.5,22.4,78.2,9.8,31.5,41.2,23,7,4.4,14.7,20.4,82,51
Orlando Magic,ORL,111.4,40.5,86.3,47,10.8,31.1,34.6,19.6,25,78.4,10.2,33.1,43.2,23.2,7.4,4.7,14.4,20.1,114,41.3,86.9,47.6,13,37,35.1,18.3,23,79.6,9.5,32.5,42,25.9,7.7,5.1,14.1,20.5,82,34
Charlotte Hornets,CHA,111,41.3,90.4,45.7,10.7,32.5,33,17.6,23.6,74.9,11,33.5,44.5,25.1,7.7,5.2,13.7,20.3,117.2,43,90.1,47.7,12.2,34.3,35.7,19,24,79.5,10.9,35.3,46.2,25.9,7,5.7,13.8,20.3,82,27
Houston Rockets,HOU,110.7,40.6,88.9,45.7,10.4,31.9,32.7,19.1,25.3,75.4,13.4,32.9,46.3,22.4,7.3,4.6,15.5,20.5,118.6,42.4,88.1,48.2,14.5,38.8,37.4,19.2,24.2,79.4,10.5,31,41.5,26.1,8.8,6.2,12.6,20.6,82,22
Detroit Pistons,DET,110.3,39.6,87.1,45.4,11.4,32.4,35.1,19.8,25.7,77.1,11.2,31.3,42.4,23,7,3.8,14.5,22.1,118.5,43.1,88.1,48.9,12,33.3,36,20.4,26.2,77.7,11,33.7,44.7,25.8,7.7,5.5,12.9,21,82,17
Miami Heat,MIA,109.5,39.2,85.3,46,12,34.8,34.4,19.1,23,83.1,9.7,30.9,40.6,23.8,8,3,12.8,18.5,109.8,40.1,83.2,48.2,13.1,35.8,36.7,16.5,21.1,78.1,8.9,33,41.8,25.6,7,3.8,15,20,82,44
