Team,Team abbreviation,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,OPTS,OFGM,OFGA,OFG%,O3PM,O3PA,O3P%,OFTM,OFTA,OFT%,OOR,ODR,OREB,OAST,OSTL,OBLK,OTO,OPF,GP,GW,SW
Sacramento Kings,SAC,110.3,40.5,88.1,46,11.4,33.2,34.4,17.9,23.3,76.8,9.6,33.4,42.9,23.7,7.2,4.5,13.5,18.9,115.8,43.4,90.6,47.9,13,34.9,37.2,15.9,20.5,77.6,10.6,35.3,45.8,25.3,8.1,4.8,12.6,20.3,82,30,-1
Golden State Warriors,GSW,111,40.5,86.4,46.9,14.3,39.4,36.4,15.6,20.3,76.9,9.8,35.7,45.5,27.1,8.8,4.5,14.3,21,105.5,37.9,86.6,43.8,12.2,36,33.9,17.4,22.9,75.9,9.7,33,42.6,22.9,7.9,3.9,13.7,18,82,53,4
Atlanta Hawks,ATL,113.9,41.5,88.3,47,12.9,34.4,37.4,18.1,22.3,81.2,10,33.9,44,24.6,7.2,4.2,11.3,18.7,112.4,41.9,89,47.1,12.8,35.2,36.4,15.8,19.9,79.2,10.2,33.6,43.9,25.4,7,4.5,12,20.3,82,43,0
Boston Celtics,BOS,111.8,40.7,87.4,46.6,13.2,37.1,35.6,17,20.9,81.6,10.5,35.5,46.1,24.8,7.2,5.8,13,18.5,104.5,38.3,88.1,43.4,11.8,34.9,33.9,16.1,20.6,78.3,10.5,33.3,43.7,21.6,7.5,4.6,13,19.4,82,51,3
Oklahoma City Thunder,OKC,103.7,38.3,89.1,43,12.1,37.4,32.3,15,19.9,75.6,10.4,35.2,45.6,22.2,7.6,4.6,13.3,18.3,111.8,41.4,90.5,45.8,13.6,38.7,35.3,15.3,19.9,77.1,11,37.3,48.4,26.1,8.5,6,12.7,17.8,82,24,-1
Los Angeles Lakers,LAL,112.1,41.6,88.8,46.9,12,34.5,34.7,16.8,23,73.2,9.5,34.5,44,24,7.6,5.2,13.9,20.2,115.1,42.6,90.5,47,12.6,35.8,35.2,17.4,23.3,74.7,11,35.6,46.6,26.3,8.3,4.1,13.3,20.1,82,33,-1
Utah Jazz,UTA,113.6,40.6,86.2,47.1,14.5,40.3,36,17.9,23.4,76.7,10.8,35.6,46.3,22.4,7.2,4.9,13.2,18.9,107.6,40.4,89.2,45.3,12.1,34.6,35,14.6,19.3,75.8,9.9,31.7,41.6,23.4,7.8,4.3,11.3,20.3,82,49,0
Milwaukee Bucks,MIL,115.5,41.8,89.4,46.8,14.1,38.4,36.6,17.8,22.9,77.6,10.3,36.5,46.7,23.9,7.6,4,12.7,18.2,112.1,41.4,90.6,45.6,14.5,40.6,35.6,15,19.9,75.1,9.9,34.2,44.1,25.9,7.4,4.4,12.4,19.7,82,51,1
Memphis Grizzlies,MEM,115.6,43.5,94.4,46.1,11.5,32.7,35.3,17,23.1,73.4,14.1,35,49.2,26,9.8,6.5,12.5,19.8,109.9,40.3,88.6,45.5,12,34.5,34.9,17.3,22.4,77.1,10,33,43,25,7.2,6,14.4,19.8,82,56,1
Indiana Pacers,IND,111.5,41.4,89.5,46.3,12.2,35.4,34.4,16.4,21.4,76.8,11.3,32.6,43.9,25.4,7.1,5.6,13.6,20.4,114.9,42.5,88,48.3,12,32.3,37.2,17.9,22.5,79.7,10.2,33,43.1,25.1,8.1,4.9,12.5,19.2,82,25,-1
New York Knicks,NYK,106.5,37.7,86.2,43.7,13.2,36.9,35.7,18,24.1,74.4,11.5,34.6,46.1,21.9,7,4.9,12.4,20.4,106.6,38.5,86,44.7,12.7,37,34.2,17,22.3,76.4,9.3,34.3,43.6,24.2,7,4.6,11.9,20,82,37,-1
Denver Nuggets,DEN,112.7,41.7,86.3,48.3,12.7,35.9,35.3,16.7,21,79.5,9.2,34.9,44.1,27.8,7.2,3.7,13.8,20,110.4,41.1,87.4,47,11.8,34.2,34.6,16.5,21.7,75.7,9.7,32.7,42.4,25.4,7.9,4.8,12.2,19.9,82,48,0
Minnesota Timberwolves,MIN,115.9,41.6,91,45.7,14.8,41.3,35.8,18,23.1,77.8,11.2,32.9,44.2,25.7,8.8,5.6,13.7,21.8,113.3,40.2,87.4,46,13.1,37.3,35,19.8,25.4,78,11,34.9,45.9,26.2,7.2,4.8,15.5,20.9,82,46,0
Philadelphia 76ers,PHI,109.9,39.4,84.5,46.6,11.6,31.8,36.4,19.6,23.8,82.1,8.5,33.8,42.3,23.7,7.7,5.3,11.7,19.4,107.3,39.7,86.5,45.8,11.4,32.8,34.6,16.6,21.6,76.9,10.2,34,44.2,23.6,6.6,4.6,12.5,19.4,82,51,1
New Orleans Pelican,NOP,109.3,40.2,88,45.7,10.6,32.1,33.2,18.3,23.2,78.9,12,33.2,45.2,25,8.3,4,13.3,19.7,110.3,40.3,85.5,47.1,13,35.5,36.5,16.8,21.4,78.6,9.3,32.5,41.8,24.9,7.4,4.8,13.7,20.5,82,36,0
Dallas Mavericks,DAL,108,39.3,85.1,46.1,13.1,37.4,35,16.4,21.2,77.1,9.3,33.8,43,23.4,6.7,4,11.7,19.7,104.7,39,85.4,45.7,10.9,32.1,34,15.8,20.6,76.7,9.5,34.1,43.6,23.5,7,3.7,12.5,20.1,82,52,2
Phoenix Suns,PHX,114.8,43.7,90.1,48.5,11.6,31.9,36.4,15.9,19.9,79.7,9.8,35.5,45.3,27.4,8.6,4.4,12.3,19.9,107.3,39.2,88.3,44.4,11.6,34.2,34,17.3,22.7,76.1,10.5,33.9,44.5,22.9,7.5,4,14,18.9,82,64,1
LA Clippers,LAC,108.4,40.1,87.4,45.8,12.8,34.2,37.4,15.5,19.6,79.3,9.1,34.9,44,24,7.4,5,13,18.6,108.4,40.8,90.6,45,11.7,33.9,34.5,15.2,19.6,77.5,12,35.1,47.1,24.1,7.7,4.1,13,18.5,82,42,-1
Portland Trail Blazers,POR,106.2,38.5,87.1,44.2,12.7,36.8,34.6,16.4,21.6,76,10.4,32.5,42.9,22.9,8,4.5,13.7,21.1,115.1,41.1,85.9,47.9,13.8,37.1,37.1,19.1,24.6,77.7,9.8,35,44.7,26.6,8.2,5,13.3,19.4,82,27,-1
Brooklyn Nets,BKN,112.9,42,88.4,47.5,11.5,31.7,36.1,17.5,21.7,80.5,10.3,34.1,44.4,25.3,7.1,5.5,13.2,20.4,112.1,40.7,90.2,45.2,12.5,36.3,34.5,18.1,23,78.8,11.3,32.8,44.1,23.8,7.9,4.9,12.4,19.7,82,44,0
Washington Wizards,WAS,108.6,40.6,86,47.2,10.5,30.6,34.2,17,21.7,78.3,9,34.1,43.1,25,6.4,5,12.6,18.8,112,41.3,88.9,46.4,11.5,31.8,36.1,18,22.3,80.7,10.2,34,44.2,23.7,7.3,4.2,11.3,19.9,82,35,-1
Chicago Bulls,CHI,111.6,41.7,86.9,48,10.6,28.8,36.9,17.5,21.5,81.3,8.7,33.7,42.3,23.9,7.1,4.1,12.1,18.8,112,41.4,87.4,47.4,11.7,32,36.6,17.4,21.9,79.5,9.3,33.9,43.2,25,7.1,5,12.4,18.2,82,46,0
San Antonio Spurs,SAS,113.2,43.2,92.7,46.7,11.3,32,35.2,15.4,20.4,75.4,11,34.3,45.3,27.9,7.6,4.9,12.3,18.1,113,42.5,91.2,46.6,12.1,33.6,36,16,20.9,76.7,11.4,35.4,46.8,24,7.3,4.9,13,18.9,82,34,-1
Toronto Raptors,TOR,109.4,40.6,91.3,44.5,11.9,34.2,34.9,16.2,21.3,75.9,13.4,32,45.3,22.1,9,4.6,11.6,19.6,107.1,39,84.4,46.2,12.4,34.9,35.4,16.8,21.2,78.9,10.3,33.7,44,25.3,6.7,5.1,15.1,19.1,82,46,0
Cleveland Cavaliers,CLE,107.8,39.7,84.6,46.9,11.6,32.8,35.5,16.8,22.1,76,10.2,34,44.2,25.2,7.1,4.2,13.3,17.5,105.7,39.5,87.2,45.2,11.7,33.2,35.3,15,19.4,77.4,10.5,32.4,42.9,24.1,8.4,4.6,12.8,20,82,44,-1
Orlando Magic,ORL,104.2,38.3,88.3,43.4,12.2,36.9,33.1,15.5,19.7,78.7,9.1,35.2,44.3,23.7,6.8,4.5,13.8,19.7,112.2,40.8,89,45.8,13.2,36.3,36.3,17.4,22.6,77.2,10.4,36.8,47.1,24.8,8,5.2,12.5,18.3,82,22,-1
Charlotte Hornets,CHA,115.3,42.8,91.4,46.8,13.9,38.2,36.5,15.8,21.4,74,10.8,33.7,44.6,28.1,8.6,4.9,12.7,19.9,114.9,42,90.1,46.6,14,38.7,36.2,16.9,22.1,76.3,11.4,35.6,47,26.5,7.5,4.6,14.4,19.6,82,43,-1
Houston Rockets,HOU,109.7,39.4,86.4,45.6,13.5,38.7,34.9,17.5,24.5,71.3,9.6,32.4,42,23.6,7.3,4.7,15.7,20.6,118.2,43.4,89.9,48.3,12.8,36.2,35.3,18.5,23.7,78.2,11.2,34.5,45.7,25.6,9.5,5.8,13.3,22.1,82,20,-1
Detroit Pistons,DET,104.8,38.2,88.6,43.1,11.3,34.6,32.6,17.2,22,78.2,11,32,43,23.5,7.7,4.8,13.4,21.9,112.5,40.6,86,47.3,11.8,32.5,36.2,19.5,25.1,77.7,10.3,35.9,46.3,25.1,7.4,5.2,13.8,19.8,82,23,-1
Miami Heat,MIA,110,39.6,84.8,46.7,13.6,35.8,37.9,17.3,21.4,80.8,9.8,33.9,43.7,25.5,7.4,3.2,13.8,20.5,105.6,37.5,84,44.7,13,38.3,33.9,17.5,22.5,77.9,9.5,32.1,41.7,23.3,7.4,4,14.1,20.6,82,53,2
